date,stock,RCV,RVT,positivePartscr,negativePartscr,splogscr,linscr
2012-02-09T00:00:00Z,AGM,10,1e-4,0.0294,0.0064,0.0163,73.6325
2012-02-14T00:00:00Z,AGM,-61.817,0,0,0.0196,-0.0097,0
2012-02-15T00:00:00Z,AGM,-22.807,1e-4,0.0069,0,0.0069,100
2012-02-16T00:00:00Z,AGM,-22.033,0,0.0198,0.0099,0.009,65.1391
2012-02-17T00:00:00Z,AGM,46.666,1e-4,0.029,0.0072,0.0362,83.3043
2012-02-21T00:00:00Z,AGM,10.667,2e-4,0,0.0049,-0.0056,0
2012-02-22T00:00:00Z,AGM,10.257,1e-4,0.009,0.008,0.0108,69.8925
2012-02-23T00:00:00Z,AGM,31.483,1e-4,0.0255,0.0151,0.0375,69.016
2012-02-24T00:00:00Z,AGM,8.333,1e-4,0.0059,0.0097,-0.0027,37.6147
2012-02-25T00:00:00Z,AGM,-26.581,1e-4,0.0233,0.0187,0.0023,55.5046
2012-02-28T00:00:00Z,AGM,63.75,2e-4,0.0229,0.0031,0.0673,91.5861
2012-02-29T00:00:00Z,AGM,61.694,2e-4,0.0175,0.0313,0.031,61.1889
2012-02-03T00:00:00Z,FOR,21.212,2e-4,0.0034,0.0286,-0.0579,11.8293
2012-02-04T00:00:00Z,FOR,31.056,3e-4,0.0098,0.0254,-0.0361,26.5183
2012-02-05T00:00:00Z,FOR,-78.572,5e-4,0.0035,0.0141,-0.0053,19.8864
2012-02-07T00:00:00Z,FOR,51.2,3e-4,0.0077,0.0517,-0.1131,15.5891
2012-02-08T00:00:00Z,FOR,29.121,2e-4,0.0057,0.0298,-0.05,19.7442
2012-02-09T00:00:00Z,FOR,0.74,1e-4,0.0042,0.0319,-0.0557,11.4891
2012-02-10T00:00:00Z,FOR,-38.687,1e-4,0.0075,0.0338,-0.0425,14.786
2012-02-11T00:00:00Z,FOR,53.605,6e-4,0.0046,0.0218,-0.0599,17.5369
2012-02-14T00:00:00Z,FOR,-1.961,2e-4,0.0067,0.0234,-0.0436,17.9891
2012-02-15T00:00:00Z,FOR,51.906,3e-4,0.007,0.0379,-0.1116,17.4082
2012-02-16T00:00:00Z,FOR,57.452,3e-4,0.0071,0.0265,-0.0799,21.6555
2012-02-17T00:00:00Z,FOR,43.333,3e-4,0.0038,0.0147,-0.0359,18.0672
2012-02-18T00:00:00Z,FOR,-28.795,2e-4,0.0057,0.0235,-0.0237,19.3267
2012-02-21T00:00:00Z,FOR,-28.205,2e-4,0.0101,0.0256,-0.0218,31.009
2012-02-22T00:00:00Z,FOR,19.841,2e-4,0.0062,0.0282,-0.0619,16.683
2012-02-23T00:00:00Z,FOR,75.46,7e-4,0.0088,0.0149,-0.0494,34.8251
2012-02-24T00:00:00Z,FOR,37.632,3e-4,0.0073,0.0291,-0.0786,22.4631
2012-02-25T00:00:00Z,FOR,-3.704,2e-4,0.0054,0.0253,-0.015,17.5105
2012-02-28T00:00:00Z,FOR,-3.614,2e-4,0.009,0.027,-0.0389,24.7454
2012-02-29T00:00:00Z,FOR,-19.291,1e-4,0.0111,0.0296,-0.0373,26.8265
2012-03-01T00:00:00Z,FOR,42.641,3e-4,0.0084,0.0344,-0.1022,19.45
2012-02-02T00:00:00Z,INTL,12.28,2e-4,0.0135,0.0287,-0.0253,28.7855
2012-02-03T00:00:00Z,INTL,11.667,1e-4,0.0016,0.0115,-0.0237,5.8076
2012-02-04T00:00:00Z,INTL,-23.635,1e-4,0.0022,0.0087,-0.005,19.8795
2012-02-07T00:00:00Z,INTL,-60.715,0,0.0281,0.0316,-0.0017,47.0687
2012-02-09T00:00:00Z,INTL,71.304,3e-4,0.0032,0.026,-0.0604,6.3385
2012-02-10T00:00:00Z,INTL,-64.18,0,0.0114,0.0341,-0.0111,25.0549
2012-02-14T00:00:00Z,INTL,29,1e-4,0.008,0.0369,-0.0498,15.9797
2012-02-15T00:00:00Z,INTL,27.885,1e-4,0.0057,0.0086,-0.0043,46.9086
2012-02-16T00:00:00Z,INTL,26.853,1e-4,0.0045,0.0068,-0.008,39.1979
2012-02-17T00:00:00Z,INTL,2.38,1e-4,0.0011,0.0023,-0.0071,27.6923
2012-02-18T00:00:00Z,INTL,40,2e-4,0.0048,0.0068,-0.0029,46.3734
2012-02-21T00:00:00Z,INTL,55.239,4e-4,0.0012,0.0012,-0.0046,39.7408
2012-02-22T00:00:00Z,INTL,36.13,1e-4,0.0093,0.0106,-0.0085,41.2229
2012-02-23T00:00:00Z,INTL,-5.882,1e-4,0,0.0251,-0.0364,0
2012-02-25T00:00:00Z,INTL,-5.714,1e-4,0.0082,0.0082,-0.0075,30.3342
