date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-02-25,0.0215,0.0,0.0907,-0.0275,0.0315,-0.0145,0.0,0.0,0.0,0.0017,,0.0436,-0.0057,-0.0612,0.0,0.0417,0.0489,-0.0022,-0.1307,0.0037,-0.0147,0.0007,,0.0,0.0,0.0,-0.0021,-0.002,,0.0048,0.1439
2012-02-26,0.05,,-0.0048,,0.0046,,,,,,,0.0032,,-0.0095,,,,0.0,-0.1412,,,,,,,,,0.0,,,0.0462
2012-02-27,-0.0225,,0.0435,,,,,,,,,,,,,,0.0,,-0.1241,,,,,,,0.0,,,,,0.0635
2012-02-28,0.1074,0.0145,0.1843,0.0288,0.0359,0.0013,-0.1546,,-0.0048,0.0053,-0.0146,0.125,-0.0033,-0.001,0.0214,-0.0196,0.0275,0.097,-0.0114,0.0693,0.0034,-0.0638,,0.0001,0.0035,-0.0137,0.0332,0.0,0.0191,-0.0593,0.3799
2012-02-29,0.0775,0.0,0.1601,,0.0364,-0.0258,0.0233,-0.0142,,0.0026,-0.0044,0.1341,0.0104,-0.014,0.0,0.0008,0.0106,0.0485,0.053,0.0449,0.0,-0.0261,0.0147,0.0,-0.0112,0.0209,0.0306,0.0,0.0014,0.0111,0.3673
2012-03-01,0.1193,0.0362,0.0959,-0.0165,0.0166,0.0,-0.0699,0.0155,0.0077,0.0029,0.0125,0.0343,-0.0025,0.0502,0.0,-0.0548,0.0079,0.033,0.0574,0.0345,0.0,0.0024,-0.0194,-0.0216,0.0139,0.0121,0.0054,-0.0017,0.0186,0.022,0.3729
2012-03-02,-0.0235,0.0153,0.2741,0.0,-0.003,-0.0459,0.0182,-0.0668,0.002,0.0181,0.0,0.0846,-0.0041,0.0568,0.0,0.0346,0.0141,0.0,-0.0537,0.0209,0.0,-0.0318,0.0,0.0075,0.0597,-0.0708,0.0514,-0.0109,,0.0414,0.3384
2012-03-03,-0.0871,-0.0278,0.0548,,0.0039,0.0039,0.0311,0.0,,0.0141,,0.1158,-0.0033,0.072,0.0,0.0,,0.0521,-0.0769,0.0161,0.0,-0.1269,,0.0,0.0,0.0,,0.0,,0.0,0.2028
2012-03-04,,,-0.006,,,,,,,,,0.0,,,,,-0.003,0.0345,-0.336,,,,,,,0.0,0.029,0.0,,,0.0252
2012-03-05,0.0,0.0,0.035,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0258,,0.0,,,,,,,,,,0.0155
