date,AB,ACC,ADS,AI,AR,BMI,CC,CMC,CNS,CWT,EPC,FL,FORM,GPS,LEG,M,MAC,MD,NOV,PCI,PNW,RMBS,SEB,SF,SIX,SM,TCO,TRN,VAC,VC,WIRE
2012-02-25,7.235,1.11,32.797,77.778,48.12,36.258,-51.851,-81.026,-37.585,-23.902,,31.29,-13.043,34.909,-73.53,-45.834,-71.667,-19.31,19.819,-67.796,69.167,-64.646,,-56.667,-1.235,-61.667,-28.476,8.75,,-38.776,-0.343
2012-02-26,-93.54,,-91.096,,-71.942,,,,,,,-86.503,,-90.187,,,,-86.254,-72.648,,,,,,,,,-44.595,,,-96.973
2012-02-27,-44.612,,-95.47,,,,,,,,,,,,,,-14.634,,-87.777,,,,,,,-61.158,,,,,-96.92
2012-02-28,22.83,1.077,56.525,30.77,10.625,27.564,60.682,,-57.616,-4.762,0.0,-5.405,-55.715,-30.805,36.037,-34.426,40.278,33.037,32.029,54.212,7.318,51.389,,7.5,-25.455,13.89,-4.516,27.142,-44.0,82.405,33.809
2012-02-29,18.421,-65.592,44.074,,62.683,-47.598,13.17,11.842,,12.195,0.0,-18.584,53.124,-79.863,-73.427,63.227,58.559,25.714,38.836,69.091,-72.549,34.234,71.428,-77.957,-25.0,34.695,-27.848,-17.308,-15.094,-73.554,55.36
2012-03-01,45.705,3.03,49.288,-3.447,-45.807,-64.502,12.858,-5.341,-35.715,63.333,0.0,25.745,-56.578,28.413,-46.206,35.397,-72.662,17.054,41.593,-25.993,8.72,-82.727,63.889,-11.579,19.534,46.8,-51.25,47.079,-70.37,23.636,44.946
2012-03-02,16.823,73.529,42.373,-50.0,7.558,-28.51,-8.021,-80.676,-35.031,20.93,-49.153,78.783,-12.82,80.0,-72.603,68.992,-72.143,16.667,37.464,-25.532,8.523,-13.333,9.46,-33.161,48.58,11.11,66.731,61.556,,22.942,43.766
2012-03-03,-17.483,35.428,1.528,,37.5,-63.713,-7.853,-22.274,,30.114,,45.306,-55.695,20.973,38.212,-50.562,,-19.643,12.536,-25.087,-17.682,50.625,,-77.32,-26.631,-24.636,,-21.591,,-73.485,-28.92
2012-03-04,,,-87.122,,,,,,,,,-87.593,,,,,-43.662,-86.35,-74.705,,,,,,,-61.87,-53.143,-47.191,,,-96.045
2012-03-05,-17.234,-68.421,-69.608,0.0,,-81.513,,-80.189,-77.848,-81.781,,-87.376,-55.0,-90.787,-72.549,-89.91,-43.056,-86.095,-80.922,,-44.578,,,,,,,,,,-98.494
2012-03-06,38.918,-67.826,61.254,0.0,-19.642,-62.5,27.037,15.503,9.444,-26.693,33.333,-11.435,,27.075,-44.517,0.87,40.477,27.5,38.847,-24.658,-16.567,65.447,9.21,25.927,-2.129,74.747,62.897,44.94,-10.525,-46.268,31.99
2012-03-07,9.095,,40.274,0.0,36.957,-24.589,44.294,,23.873,-26.274,-49.208,55.032,-9.755,-81.413,9.66,-89.716,-71.523,-16.949,34.003,-39.189,27.5,-19.231,38.462,-54.455,-26.177,7.273,58.139,-21.808,,-72.592,49.937
2012-03-08,-14.928,,42.454,,36.17,-61.788,-54.59,-79.909,33.834,9.375,33.333,48.496,-54.217,-81.111,-16.667,-27.586,-71.052,27.2,32.087,-23.588,9.183,-67.175,7.5,-76.847,18.334,-27.743,-77.889,-47.368,,8.553,32.914
